tank,date,climate,drying,treatment,species,svl,mass,time,cumulative,prop.meta,devel.rate,final.stage,algaemass
1,6/27/2012,warming,temp,warming + fast,spadefoot,16.0,0.67,49,1,0.033333333,0.387755102,46,1.768
1,6/29/2012,warming,temp,warming + fast,spadefoot,16.0,0.597,51,2,0.066666667,0.37254902,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,17.0,0.523,53,5,0.166666667,0.358490566,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,16.0,0.492,53,5,0.166666667,0.358490566,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,18.0,0.609,53,5,0.166666667,0.358490566,46,1.768
1,7/2/2012,warming,temp,warming + fast,spadefoot,16.0,0.476,54,7,0.233333333,0.351851852,46,1.768
1,7/2/2012,warming,temp,warming + fast,spadefoot,17.5,0.536,54,7,0.233333333,0.351851852,46,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,16.5,0.368,56,10,0.333333333,0.339285714,46,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,18.5,0.642,56,10,0.333333333,0.339285714,45,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,19.0,0.698,56,10,0.333333333,0.339285714,45,1.768
1,7/6/2012,warming,temp,warming + fast,spadefoot,17.0,0.658,58,11,0.366666667,0.327586207,45,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,18.0,0.59,60,15,0.5,0.316666667,46,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,19.5,0.691,60,15,0.5,0.316666667,46,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,17.0,0.597,60,15,0.5,0.316666667,45,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,18.5,0.776,60,15,0.5,0.316666667,45,1.768
1,7/13/2012,warming,temp,warming + fast,spadefoot,20.0,0.822,65,17,0.566666667,0.292307692,46,1.768
1,7/13/2012,warming,temp,warming + fast,spadefoot,20.0,0.8,65,17,0.566666667,0.292307692,46,1.768
1,7/16/2012,warming,temp,warming + fast,spadefoot,17.5,0.585,68,18,0.6,0.279411765,46,1.768
2,6/27/2012,warming,perm,warming + slow,spadefoot,17.0,0.685,49,2,0.066666667,0.387755102,45,3.081
2,6/27/2012,warming,perm,warming + slow,spadefoot,17.0,0.577,49,2,0.066666667,0.387755102,46,3.081
2,6/29/2012,warming,perm,warming + slow,spadefoot,17.0,0.615,51,4,0.133333333,0.37254902,46,3.081
2,6/29/2012,warming,perm,warming + slow,spadefoot,18.0,0.588,51,4,0.133333333,0.37254902,45,3.081
2,7/2/2012,warming,perm,warming + slow,spadefoot,16.5,0.549,54,5,0.166666667,0.351851852,46,3.081
2,7/6/2012,warming,perm,warming + slow,spadefoot,17.0,0.427,58,7,0.233333333,0.327586207,45,3.081
2,7/6/2012,warming,perm,warming + slow,spadefoot,18.0,0.636,58,7,0.233333333,0.327586207,45,3.081
2,7/8/2012,warming,perm,warming + slow,spadefoot,19.5,0.644,60,9,0.3,0.316666667,46,3.081
2,7/11/2012,warming,perm,warming + slow,spadefoot,19.0,0.62,63,10,0.333333333,0.301587302,46,3.081
2,7/17/2012,warming,perm,warming + slow,spadefoot,18.0,0.84,69,12,0.4,0.275362319,46,3.081
2,7/17/2012,warming,perm,warming + slow,spadefoot,19.0,0.815,69,12,0.4,0.275362319,46,3.081
2,7/19/2012,warming,perm,warming + slow,spadefoot,19.5,0.865,71,14,0.466666667,0.267605634,45,3.081
2,7/19/2012,warming,perm,warming + slow,spadefoot,17.0,0.6,71,14,0.466666667,0.267605634,45,3.081
2,7/30/2012,warming,perm,warming + slow,spadefoot,16.0,0.489,80,15,0.5,0.2375,46,3.081
3,6/21/2012,warming,perm,warming + slow,treefrog,17.0,0.328,44,2,0.066666667,0.431818182,45,0.0
3,6/21/2012,warming,perm,warming + slow,treefrog,15.5,0.36,44,2,0.066666667,0.431818182,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,15.5,0.342,45,6,0.2,0.422222222,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,14.0,0.239,45,6,0.2,0.422222222,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,15.5,0.294,45,6,0.2,0.422222222,45,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,16.0,0.307,45,6,0.2,0.422222222,46,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,16.0,0.309,47,9,0.3,0.404255319,45,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,15.0,0.304,47,9,0.3,0.404255319,46,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,14.0,0.308,47,9,0.3,0.404255319,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,16.0,0.343,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,16.0,0.375,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.0,0.326,51,17,0.566666667,0.37254902,45,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.5,0.343,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,13.0,0.269,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,14.0,0.325,51,17,0.566666667,0.37254902,45,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.5,0.323,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.0,0.327,51,17,0.566666667,0.37254902,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,15.0,0.34,54,21,0.7,0.351851852,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,16.0,0.38,54,21,0.7,0.351851852,45,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,15.5,0.27,54,21,0.7,0.351851852,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,16.0,0.325,54,21,0.7,0.351851852,46,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.327,56,24,0.8,0.339285714,46,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.418,56,24,0.8,0.339285714,45,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.383,56,24,0.8,0.339285714,46,0.0
3,7/5/2012,warming,perm,warming + slow,treefrog,15.5,0.397,57,25,0.833333333,0.333333333,45,0.0
4,7/8/2012,no warming,temp,no warming + fast,treefrog,17.0,0.423,60,1,0.033333333,0.316666667,46,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,14.0,0.293,61,4,0.133333333,0.31147541,46,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,14.0,0.329,61,4,0.133333333,0.31147541,45,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,15.0,0.4,61,4,0.133333333,0.31147541,45,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,16.0,0.356,63,8,0.266666667,0.301587302,45,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,18.5,0.368,63,8,0.266666667,0.301587302,46,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,15.0,0.294,63,8,0.266666667,0.301587302,46,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,16.0,0.332,63,8,0.266666667,0.301587302,46,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,15.0,0.3,65,11,0.366666667,0.292307692,45,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,16.0,0.3,65,11,0.366666667,0.292307692,46,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,16.0,0.345,65,11,0.366666667,0.292307692,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,16.0,0.34,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,15.0,0.305,68,17,0.566666667,0.279411765,45,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,14.0,0.299,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,16.0,0.335,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,14.0,0.26,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,15.0,0.336,68,17,0.566666667,0.279411765,45,2.0095
4,7/17/2012,no warming,temp,no warming + fast,treefrog,15.0,0.31,69,18,0.6,0.275362319,45,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,16.0,0.255,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,16.0,0.378,71,23,0.766666667,0.267605634,45,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,15.5,0.26,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,17.0,0.37,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,15.0,0.29,71,23,0.766666667,0.267605634,46,2.0095
4,7/22/2012,no warming,temp,no warming + fast,treefrog,16.5,0.317,74,24,0.8,0.256756757,46,2.0095
4,7/23/2012,no warming,temp,no warming + fast,treefrog,15.0,0.327,75,25,0.833333333,0.253333333,46,2.0095
5,6/27/2012,warming,temp,warming + fast,redlegged,17.0,0.396,49,1,0.033333333,0.387755102,45,0.0
5,6/29/2012,warming,temp,warming + fast,redlegged,16.5,0.588,51,3,0.1,0.37254902,46,0.0
5,6/29/2012,warming,temp,warming + fast,redlegged,17.5,0.44,51,3,0.1,0.37254902,45,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,15.0,0.269,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,17.5,0.366,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,18.0,0.397,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,16.0,0.333,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,16.0,0.305,54,8,0.266666667,0.351851852,46,0.0
5,7/4/2012,warming,temp,warming + fast,redlegged,17.0,0.44,56,10,0.333333333,0.339285714,45,0.0
5,7/4/2012,warming,temp,warming + fast,redlegged,16.5,0.353,56,10,0.333333333,0.339285714,46,0.0
5,7/5/2012,warming,temp,warming + fast,redlegged,18.0,0.38,57,11,0.366666667,0.333333333,46,0.0
5,7/6/2012,warming,temp,warming + fast,redlegged,18.0,0.435,58,12,0.4,0.327586207,46,0.0
5,7/8/2012,warming,temp,warming + fast,redlegged,17.5,0.409,60,13,0.433333333,0.316666667,45,0.0
5,7/11/2012,warming,temp,warming + fast,redlegged,16.0,0.39,63,15,0.5,0.301587302,45,0.0
5,7/11/2012,warming,temp,warming + fast,redlegged,17.5,0.47,63,15,0.5,0.301587302,46,0.0
5,7/13/2012,warming,temp,warming + fast,redlegged,17.5,0.381,65,16,0.533333333,0.292307692,46,0.0
5,7/16/2012,warming,temp,warming + fast,redlegged,18.0,0.448,68,19,0.633333333,0.279411765,45,0.0
5,7/16/2012,warming,temp,warming + fast,redlegged,17.0,0.385,68,19,0.633333333,0.279411765,46,0.0
5,7/16/2012,warming,temp,warming + fast,redlegged,18.5,0.5,68,19,0.633333333,0.279411765,46,0.0
5,7/19/2012,warming,temp,warming + fast,redlegged,19.5,0.723,71,20,0.666666667,0.267605634,46,0.0
6,7/13/2012,no warming,temp,no warming + fast,spadefoot,18.5,0.584,65,1,0.033333333,0.292307692,45,1.061
6,7/16/2012,no warming,temp,no warming + fast,spadefoot,16.5,0.58,68,4,0.133333333,0.279411765,46,1.061
6,7/16/2012,no warming,temp,no warming + fast,spadefoot,15.0,0.406,68,4,0.133333333,0.279411765,45,1.061
6,7/16/2012,no warming,temp,no warming + fast,spadefoot,16.0,0.529,68,4,0.133333333,0.279411765,45,1.061
6,7/19/2012,no warming,temp,no warming + fast,spadefoot,19.0,0.7,71,6,0.2,0.267605634,46,1.061
6,7/19/2012,no warming,temp,no warming + fast,spadefoot,18.5,0.604,71,6,0.2,0.267605634,46,1.061
6,7/22/2012,no warming,temp,no warming + fast,spadefoot,17.5,0.623,74,9,0.3,0.256756757,46,1.061
6,7/22/2012,no warming,temp,no warming + fast,spadefoot,15.5,0.455,74,9,0.3,0.256756757,46,1.061
6,7/22/2012,no warming,temp,no warming + fast,spadefoot,16.0,0.56,74,9,0.3,0.256756757,46,1.061
6,7/23/2012,no warming,temp,no warming + fast,spadefoot,18.0,0.778,75,10,0.333333333,0.253333333,46,1.061
7,7/2/2012,warming,temp,warming + fast,redlegged,21.0,0.61,54,3,0.1,0.351851852,46,0.0
7,7/2/2012,warming,temp,warming + fast,redlegged,21.0,0.641,54,3,0.1,0.351851852,46,0.0
7,7/2/2012,warming,temp,warming + fast,redlegged,21.0,0.672,54,3,0.1,0.351851852,46,0.0
7,7/6/2012,warming,temp,warming + fast,redlegged,16.0,0.47,58,4,0.133333333,0.327586207,45,0.0
7,7/9/2012,warming,temp,warming + fast,redlegged,17.5,0.546,61,8,0.266666667,0.31147541,45,0.0
7,7/9/2012,warming,temp,warming + fast,redlegged,18.0,0.569,61,8,0.266666667,0.31147541,45,0.0
7,7/11/2012,warming,temp,warming + fast,redlegged,19.0,0.567,63,9,0.3,0.301587302,45,0.0
7,7/13/2012,warming,temp,warming + fast,redlegged,18.5,0.52,65,11,0.366666667,0.292307692,46,0.0
7,7/13/2012,warming,temp,warming + fast,redlegged,19.0,0.615,65,11,0.366666667,0.292307692,45,0.0
7,7/16/2012,warming,temp,warming + fast,redlegged,17.0,0.486,68,12,0.4,0.279411765,45,0.0
7,7/19/2012,warming,temp,warming + fast,redlegged,18.0,0.505,71,14,0.466666667,0.267605634,45,0.0
7,7/19/2012,warming,temp,warming + fast,redlegged,18.0,0.58,71,14,0.466666667,0.267605634,45,0.0
8,7/13/2012,no warming,temp,no warming + fast,redlegged,17.5,0.427,65,4,0.133333333,0.292307692,45,2.4994
8,7/13/2012,no warming,temp,no warming + fast,redlegged,17.5,0.448,65,4,0.133333333,0.292307692,45,2.4994
8,7/13/2012,no warming,temp,no warming + fast,redlegged,18.0,0.45,65,4,0.133333333,0.292307692,46,2.4994
8,7/13/2012,no warming,temp,no warming + fast,redlegged,20.0,0.707,65,4,0.133333333,0.292307692,46,2.4994
8,7/16/2012,no warming,temp,no warming + fast,redlegged,18.0,0.496,68,6,0.2,0.279411765,45,2.4994
8,7/16/2012,no warming,temp,no warming + fast,redlegged,20.0,0.6,68,6,0.2,0.279411765,46,2.4994
8,7/17/2012,no warming,temp,no warming + fast,redlegged,18.0,0.412,69,9,0.3,0.275362319,45,2.4994
8,7/17/2012,no warming,temp,no warming + fast,redlegged,18.0,0.405,69,9,0.3,0.275362319,45,2.4994
8,7/17/2012,no warming,temp,no warming + fast,redlegged,12.5,0.415,69,9,0.3,0.275362319,45,2.4994
8,7/18/2012,no warming,temp,no warming + fast,redlegged,16.0,0.425,70,10,0.333333333,0.271428571,45,2.4994
8,7/19/2012,no warming,temp,no warming + fast,redlegged,19.0,0.47,71,13,0.433333333,0.267605634,46,2.4994
8,7/19/2012,no warming,temp,no warming + fast,redlegged,19.0,0.527,71,13,0.433333333,0.267605634,46,2.4994
8,7/19/2012,no warming,temp,no warming + fast,redlegged,18.5,0.45,71,13,0.433333333,0.267605634,46,2.4994
8,7/22/2012,no warming,temp,no warming + fast,redlegged,18.5,0.513,74,15,0.5,0.256756757,45,2.4994
8,7/22/2012,no warming,temp,no warming + fast,redlegged,17.5,0.395,74,15,0.5,0.256756757,46,2.4994
8,7/25/2012,no warming,temp,no warming + fast,redlegged,16.0,0.379,75,16,0.533333333,0.253333333,46,2.4994
8,7/27/2012,no warming,temp,no warming + fast,redlegged,16.5,0.367,77,17,0.566666667,0.246753247,46,2.4994
8,7/30/2012,no warming,temp,no warming + fast,redlegged,18.0,0.46,80,22,0.733333333,0.2375,45,2.4994
8,7/30/2012,no warming,temp,no warming + fast,redlegged,18.0,0.545,80,22,0.733333333,0.2375,45,2.4994
8,7/30/2012,no warming,temp,no warming + fast,redlegged,18.0,0.469,80,22,0.733333333,0.2375,46,2.4994
8,7/30/2012,no warming,temp,no warming + fast,redlegged,17.5,0.464,80,22,0.733333333,0.2375,46,2.4994
8,7/30/2012,no warming,temp,no warming + fast,redlegged,17.0,0.476,80,22,0.733333333,0.2375,46,2.4994
8,8/1/2012,no warming,temp,no warming + fast,redlegged,18.0,0.628,82,23,0.766666667,0.231707317,46,2.4994
9,7/8/2012,no warming,perm,no warming + slow,treefrog,15.5,0.4,60,1,0.033333333,0.316666667,46,1.3519
9,7/9/2012,no warming,perm,no warming + slow,treefrog,15.5,0.454,61,4,0.133333333,0.31147541,46,1.3519
9,7/9/2012,no warming,perm,no warming + slow,treefrog,16.0,0.494,61,4,0.133333333,0.31147541,45,1.3519
9,7/9/2012,no warming,perm,no warming + slow,treefrog,17.0,0.475,61,4,0.133333333,0.31147541,46,1.3519
9,7/11/2012,no warming,perm,no warming + slow,treefrog,18.0,0.495,63,6,0.2,0.301587302,45,1.3519
9,7/11/2012,no warming,perm,no warming + slow,treefrog,16.0,0.379,63,6,0.2,0.301587302,46,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,17.0,0.46,65,13,0.433333333,0.292307692,45,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,16.0,0.296,65,13,0.433333333,0.292307692,46,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,16.0,0.339,65,13,0.433333333,0.292307692,45,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,16.0,0.438,65,13,0.433333333,0.292307692,46,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,17.0,0.425,65,13,0.433333333,0.292307692,46,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,17.0,0.53,65,13,0.433333333,0.292307692,46,1.3519
9,7/13/2012,no warming,perm,no warming + slow,treefrog,16.0,0.37,65,13,0.433333333,0.292307692,45,1.3519
9,7/14/2012,no warming,perm,no warming + slow,treefrog,17.0,0.502,66,14,0.466666667,0.287878788,45,1.3519
9,7/16/2012,no warming,perm,no warming + slow,treefrog,18.0,0.468,68,16,0.533333333,0.279411765,46,1.3519
9,7/17/2012,no warming,perm,no warming + slow,treefrog,17.0,0.465,69,17,0.566666667,0.275362319,45,1.3519
9,7/19/2012,no warming,perm,no warming + slow,treefrog,17.0,0.404,71,18,0.6,0.267605634,46,1.3519
9,7/22/2012,no warming,perm,no warming + slow,treefrog,16.0,0.36,74,19,0.633333333,0.256756757,46,1.3519
9,7/25/2012,no warming,perm,no warming + slow,treefrog,16.0,0.335,75,20,0.666666667,0.253333333,46,1.3519
9,7/27/2012,no warming,perm,no warming + slow,treefrog,19.0,0.476,77,21,0.7,0.246753247,46,1.3519
10,7/19/2012,no warming,perm,no warming + slow,spadefoot,19.0,0.725,71,1,0.033333333,0.267605634,46,3.959
10,7/22/2012,no warming,perm,no warming + slow,spadefoot,16.5,0.648,74,2,0.066666667,0.256756757,46,3.959
10,7/27/2012,no warming,perm,no warming + slow,spadefoot,21.0,0.99,77,3,0.1,0.246753247,45,3.959
10,8/2/2012,no warming,perm,no warming + slow,spadefoot,20.0,1.16,83,4,0.133333333,0.228915663,45,3.959
11,7/13/2012,no warming,temp,no warming + fast,spadefoot,23.5,1.16,65,1,0.033333333,0.292307692,46,2.343
11,7/16/2012,no warming,temp,no warming + fast,spadefoot,23.0,1.258,68,2,0.066666667,0.279411765,46,2.343
11,7/17/2012,no warming,temp,no warming + fast,spadefoot,21.0,1.22,69,3,0.1,0.275362319,45,2.343
11,7/19/2012,no warming,temp,no warming + fast,spadefoot,20.0,0.934,71,4,0.133333333,0.267605634,46,2.343
11,7/22/2012,no warming,temp,no warming + fast,spadefoot,19.0,0.705,74,5,0.166666667,0.256756757,46,2.343
11,8/1/2012,no warming,temp,no warming + fast,spadefoot,21.0,1.026,82,6,0.2,0.231707317,45,2.343
12,6/27/2012,warming,perm,warming + slow,redlegged,15.0,0.332,49,1,0.033333333,0.387755102,46,0.0
12,6/29/2012,warming,perm,warming + slow,redlegged,19.0,0.45,51,4,0.133333333,0.37254902,46,0.0
12,6/29/2012,warming,perm,warming + slow,redlegged,18.0,0.43,51,4,0.133333333,0.37254902,45,0.0
12,6/29/2012,warming,perm,warming + slow,redlegged,18.0,0.393,51,4,0.133333333,0.37254902,45,0.0
12,7/2/2012,warming,perm,warming + slow,redlegged,16.5,0.358,54,7,0.233333333,0.351851852,46,0.0
12,7/2/2012,warming,perm,warming + slow,redlegged,17.0,0.335,54,7,0.233333333,0.351851852,46,0.0
12,7/2/2012,warming,perm,warming + slow,redlegged,17.0,0.344,54,7,0.233333333,0.351851852,45,0.0
12,7/4/2012,warming,perm,warming + slow,redlegged,17.5,0.38,56,9,0.3,0.339285714,45,0.0
12,7/4/2012,warming,perm,warming + slow,redlegged,17.0,0.389,56,9,0.3,0.339285714,45,0.0
12,7/5/2012,warming,perm,warming + slow,redlegged,15.0,0.36,57,10,0.333333333,0.333333333,45,0.0
12,7/11/2012,warming,perm,warming + slow,redlegged,17.5,0.407,63,13,0.433333333,0.301587302,46,0.0
12,7/11/2012,warming,perm,warming + slow,redlegged,16.0,0.356,63,13,0.433333333,0.301587302,46,0.0
12,7/11/2012,warming,perm,warming + slow,redlegged,17.5,0.426,63,13,0.433333333,0.301587302,46,0.0
12,7/13/2012,warming,perm,warming + slow,redlegged,18.0,0.474,65,14,0.466666667,0.292307692,45,0.0
12,7/16/2012,warming,perm,warming + slow,redlegged,20.0,0.582,68,15,0.5,0.279411765,46,0.0
12,7/17/2012,warming,perm,warming + slow,redlegged,19.5,0.645,69,17,0.566666667,0.275362319,46,0.0
12,7/17/2012,warming,perm,warming + slow,redlegged,18.0,0.515,69,17,0.566666667,0.275362319,45,0.0
12,7/18/2012,warming,perm,warming + slow,redlegged,15.0,0.294,70,18,0.6,0.271428571,46,0.0
12,7/19/2012,warming,perm,warming + slow,redlegged,18.5,0.55,71,20,0.666666667,0.267605634,45,0.0
12,7/19/2012,warming,perm,warming + slow,redlegged,18.0,0.467,71,20,0.666666667,0.267605634,46,0.0
12,7/22/2012,warming,perm,warming + slow,redlegged,19.5,0.56,74,21,0.7,0.256756757,46,0.0
12,8/4/2012,warming,perm,warming + slow,redlegged,21.5,0.784,85,22,0.733333333,0.223529412,46,0.0
12,8/11/2012,warming,perm,warming + slow,redlegged,21.0,0.676,92,23,0.766666667,0.206521739,46,0.0
12,8/29/2012,warming,perm,warming + slow,redlegged,20.0,0.65,109,24,0.8,0.174311927,46,0.0
13,6/19/2012,warming,temp,warming + fast,treefrog,16.0,0.267,42,3,0.1,0.452380952,46,0.0
13,6/19/2012,warming,temp,warming + fast,treefrog,16.0,0.308,42,3,0.1,0.452380952,46,0.0
13,6/19/2012,warming,temp,warming + fast,treefrog,15.0,0.23,42,3,0.1,0.452380952,45,0.0
13,6/21/2012,warming,temp,warming + fast,treefrog,14.0,0.323,44,5,0.166666667,0.431818182,45,0.0
13,6/21/2012,warming,temp,warming + fast,treefrog,15.0,0.31,44,5,0.166666667,0.431818182,46,0.0
13,6/23/2012,warming,temp,warming + fast,treefrog,14.0,0.26,45,8,0.266666667,0.422222222,46,0.0
13,6/23/2012,warming,temp,warming + fast,treefrog,14.0,0.23,45,8,0.266666667,0.422222222,46,0.0
13,6/23/2012,warming,temp,warming + fast,treefrog,15.0,0.273,45,8,0.266666667,0.422222222,46,0.0
13,6/25/2012,warming,temp,warming + fast,treefrog,15.0,0.289,47,14,0.466666667,0.404255319,46,0.0
13,6/25/2012,warming,temp,warming + fast,treefrog,15.5,0.343,47,14,0.466666667,0.404255319,46,0.0
